0,197,170,49,325
1,220,179,124,200
2,201,210,93,228
3,275,538,226,374
4,248,264,163,202
5,101,68,138,96
6,117,45,143,104
7,131,263,64,192
8,257,347,83,221
9,118,141,264,110
10,105,101,88,93
11,129,230,141,197
12,248,705,193,384
13,171,256,272,169
14,180,252,229,185
15,200,529,200,293
16,296,319,226,217
17,144,82,105,106
18,115,110,102,94
19,166,198,99,115
20,113,79,124,99
21,40,19,31,43
22,49,24,136,56
23,65,87,63,64
24,98,47,78,102
25,39,37,239,96
26,58,27,107,59
27,105,54,86,75
28,81,262,37,141
29,71,128,45,74
30,53,105,85,73
31,158,320,68,158
32,313,420,138,259
33,123,92,72,90
34,100,118,30,77
35,183,243,64,146
36,165,162,469,162
37,38,36,176,48
38,57,24,145,56
39,75,165,57,51
40,124,116,28,74
41,39,32,129,42
42,53,29,47,55
43,100,114,48,76
44,135,231,64,185
45,38,77,59,61
46,77,75,223,113
47,142,272,58,160
48,257,685,199,340
49,105,249,124,143
50,88,222,100,152
51,264,661,175,340
52,173,241,250,179
53,74,118,147,101
54,72,71,190,104
55,117,279,94,124
56,171,208,88,121
57,120,113,180,89
58,101,152,194,117
59,109,174,122,109
60,226,546,124,265
61,108,289,166,140
62,142,207,298,143
63,134,450,187,263
64,259,301,234,210
65,160,148,97,88
66,158,115,117,100
67,233,173,133,130
68,106,56,87,64
69,85,43,76,73
70,49,25,98,48
71,90,70,31,60
72,111,88,45,76
73,50,59,137,61
74,64,62,95,39
75,96,61,31,48
76,97,134,46,84
77,138,85,86,80
78,96,50,65,42
79,163,174,107,85
80,131,85,201,107
81,65,43,86,59
82,67,46,77,45
83,92,77,117,71
84,47,16,86,58
85,27,9,24,17
86,16,4,25,27
87,37,17,25,34
88,56,19,113,49
89,33,15,220,58
90,32,5,0,16
91,53,23,134,64
92,62,93,43,45
93,48,38,5,30
94,58,51,79,46
95,81,82,84,68
96,97,44,124,109
97,55,24,54,52
98,39,27,29,45
99,136,55,103,77
100,45,27,169,81
101,24,20,175,50
102,42,11,202,69
103,38,28,122,63
104,78,24,52,47
105,27,13,163,49
106,17,12,32,31
107,74,21,115,46
108,92,42,66,78
109,44,27,36,43
110,67,43,153,69
111,98,50,26,60
112,95,197,27,99
113,55,105,43,64
114,24,91,17,45
115,99,232,50,129
116,77,94,48,63
117,21,50,13,27
118,30,22,27,33
119,51,109,19,58
120,62,68,29,43
121,34,61,79,59
122,38,54,81,53
123,54,82,50,48
124,158,192,46,104
125,77,187,34,68
126,114,138,92,85
127,121,292,75,161
128,292,431,128,229
129,133,128,33,87
130,219,309,72,150
131,136,235,61,128
132,89,83,57,67
133,62,36,30,30
134,52,33,50,42
135,69,65,22,43
136,61,103,16,55
137,45,77,20,31
138,56,65,3,29
139,50,71,16,47
140,130,299,29,129
141,71,52,3,24
142,143,172,44,100
143,144,191,61,99
144,141,168,84,82
145,105,64,29,50
146,87,97,707,181
147,111,89,53,70
148,43,30,99,56
149,15,16,46,26
150,12,8,98,31
151,23,42,56,27
152,60,28,52,35
153,24,12,84,30
154,22,19,78,40
155,39,21,82,55
156,45,137,28,51
157,36,70,18,33
158,54,112,57,40
159,57,77,10,40
160,103,103,42,72
161,35,25,20,26
162,74,84,4,44
163,79,84,15,43
164,48,22,100,31
165,7,8,3,9
166,21,14,81,29
167,24,39,58,34
168,46,35,17,31
169,19,10,37,24
170,26,23,15,29
171,33,28,29,29
172,72,106,23,50
173,34,36,16,19
174,84,73,36,56
175,77,65,42,51
176,96,207,59,151
177,43,70,17,71
178,60,141,28,87
179,124,213,33,106
180,32,59,39,54
181,29,37,23,28
182,16,18,49,40
183,32,70,22,46
184,55,55,45,39
185,49,30,244,94
186,40,57,69,59
187,63,48,50,45
188,94,190,33,110
189,72,102,16,57
190,105,145,42,70
191,96,229,68,135
192,240,662,254,336
193,122,210,83,114
194,72,148,78,94
195,220,526,184,235
196,90,154,120,99
197,60,107,92,69
198,71,70,102,92
199,66,277,29,107
200,100,199,70,108
201,36,101,87,65
202,36,66,63,61
203,63,194,61,121
204,161,475,68,202
205,154,273,133,117
206,114,195,97,109
207,238,615,184,285
208,223,279,351,205
209,106,100,176,72
210,93,86,102,69
211,193,222,229,127
212,92,129,177,91
213,37,49,77,39
214,44,31,127,71
215,61,91,40,39
216,89,45,26,67
217,63,27,318,86
218,42,40,180,64
219,86,50,159,85
220,83,221,50,95
221,57,118,34,46
222,43,83,69,47
223,158,296,109,138
224,186,226,109,114
225,58,46,52,56
226,67,45,29,38
227,188,154,77,107
228,123,89,148,70
229,41,38,142,57
230,57,21,146,51
231,87,108,110,57
232,111,117,78,80
233,43,61,204,76
234,48,50,108,55
235,105,114,163,86
236,96,111,61,90
237,45,52,79,45
238,49,35,124,29
239,123,174,104,119
240,236,445,103,226
241,120,185,59,101
242,70,190,67,101
243,195,469,115,177
244,121,199,144,100
245,66,130,59,56
246,61,45,117,78
247,76,250,59,95
248,173,159,148,107
249,77,89,214,101
250,74,81,165,79
251,105,142,120,89
252,155,343,141,174
253,100,220,141,115
254,113,175,190,140
255,120,476,206,268
256,261,260,295,204
257,107,84,112,85
258,104,104,128,93
259,186,177,182,125
260,144,93,108,83
261,46,43,46,37
262,77,29,83,38
263,94,104,47,51
264,124,91,56,75
265,75,44,128,76
266,56,45,96,40
267,102,75,58,60
268,138,152,86,86
269,129,60,58,59
270,96,63,87,42
271,207,147,126,115
272,110,51,106,71
273,46,20,69,31
274,42,24,49,26
275,77,37,73,39
276,66,38,105,51
277,26,8,31,26
278,46,14,74,52
279,57,54,25,22
280,53,26,37,37
281,18,17,166,47
282,25,5,62,33
283,47,21,34,30
284,34,67,20,33
285,29,21,9,18
286,44,20,17,20
287,131,74,54,72
288,104,73,63,75
289,24,12,18,19
290,32,25,10,25
291,92,65,25,44
292,57,48,152,66
293,25,15,58,16
294,24,19,110,23
295,35,56,41,42
296,60,53,35,19
297,17,9,130,30
298,18,11,44,16
299,52,46,65,36
300,84,54,24,42
301,30,20,12,23
302,36,17,15,17
303,84,62,50,46
304,91,136,56,72
305,45,42,34,38
306,37,39,22,36
307,105,111,32,57
308,133,86,112,79
309,52,31,6,24
310,66,19,57,39
311,85,82,24,48
312,105,48,47,51
313,34,16,18,14
314,40,32,74,28
315,56,23,9,23
316,141,156,37,80
317,92,63,40,39
318,99,51,76,38
319,136,149,96,78
320,139,79,222,95
321,70,38,104,38
322,66,39,64,49
323,121,63,166,94
324,45,23,99,32
325,47,34,61,32
326,29,15,118,41
327,37,36,43,37
328,71,50,32,32
329,35,32,132,48
330,25,19,18,13
331,36,16,73,34
332,52,55,61,47
333,66,50,46,33
334,62,30,93,33
335,106,90,160,75
336,54,22,128,61
337,26,10,64,31
338,17,18,64,33
339,48,12,55,30
340,21,5,41,21
341,9,4,4,11
342,6,2,14,7
343,24,14,3,15
344,27,3,68,33
345,3,1,9,16
346,7,4,2,4
347,29,5,26,27
348,24,25,18,26
349,24,13,8,17
350,26,9,33,15
351,50,26,15,30
352,43,19,133,45
353,18,2,53,26
354,26,14,45,16
355,66,21,106,54
356,39,10,128,37
357,9,10,151,33
358,14,3,176,38
359,31,10,111,46
360,44,8,0,12
361,11,0,0,6
362,7,0,1,4
363,35,3,0,10
364,47,12,83,41
365,24,12,63,35
366,34,8,104,26
367,71,23,126,66
368,51,94,32,48
369,40,38,33,28
370,7,32,11,21
371,41,66,40,39
372,40,25,5,19
373,21,37,3,15
374,23,12,4,10
375,29,28,7,16
376,48,27,44,33
377,24,41,144,31
378,27,12,24,13
379,49,26,94,41
380,65,44,22,40
381,51,50,54,26
382,59,36,112,47
383,56,87,96,67
384,81,40,104,85
385,46,16,49,34
386,55,30,67,62
387,80,39,89,69
388,35,20,66,36
389,23,8,35,25
390,36,21,11,34
391,37,23,38,40
392,39,11,16,28
393,21,21,35,17
394,10,14,4,15
395,25,19,38,29
396,94,58,51,61
397,52,19,1,25
398,85,20,94,43
399,147,40,143,91
400,51,35,203,54
401,18,9,101,44
402,15,13,99,36
403,69,25,148,54
404,15,17,201,47
405,11,12,76,31
406,9,1,109,37
407,21,12,64,23
408,34,6,116,43
409,20,6,263,76
410,18,4,100,28
411,35,6,29,18
412,28,27,70,34
413,29,21,71,20
414,18,15,146,34
415,62,28,149,65
416,60,39,67,53
417,15,6,34,24
418,28,15,5,13
